User Id;Username;Comment Text;Calon Pasangan ;sentimen 
53153892956;mcrygtmpn_dnshlh;Saya dukung ganjar mahfud;Ganjar-Mahfud;Positif
62319196013;maraberal;Bener bangettt;;Netral
51416276030;styy103;Pak ganjar diem diem buat program yang mumpuni;Ganjar-Mahfud;Positif 
62761352429;aurelam37;Apalagi yang janjiin BBM gratis????;https://www.instagram.com/aurelam37;Negatif 
53760295726;nt2503_;pak ganjar kerja nya nyata pilih pai ganjar;Ganjar-Mahfud;Positif
61618676424;arindaimoett;Mending dukung pak ganjar kerja aksi nyata;Ganjar-Mahfud;Positif
8017799977;aurarinlidy;Bersama pak ganjar pasti menang??;Ganjar-Mahfud;Positif
62537837589;amiaka04;Wkwk gak karu karuan apalagi BBM gratis??;https://www.instagram.com/amiaka04;Negatif 
56827145195;dialaodee;Selalu Pak Ganjar di Hati, selelalu siap mendukung Pak Ganjar dengan kemasyarakatannya hehehe, Semangat Terus Pak Ganjar dan Sukses selalu Pak;Ganjar-Mahfud;Positif
39518201009;brshamlpkann;"Betulll. Mending dukung GAMA no bulshit""";Ganjar-Mahfud;Positif
62898418871;briandaa211;Saya lebih percaya bisi misi pak ganjar;Ganjar-Mahfud;Positif
62437703836;arabuarmal;Yang dapat di percaya cuma pak ganjar pranowo??;Ganjar-Mahfud;Positif
62710198288;maraaura04;Yukk dukung terus GAMA;Ganjar-Mahfud;Positif
61768351628;auraamaull;Semoga aja ganjar mahfud menang;Ganjar-Mahfud;Positif
54925152527;agungmustain;Makan dn minum susu gratis...??;https://www.instagram.com/agungmustain;Positif
62531214811;sahlahalfa;Yang paling kompeten cuma ganjar pranowo;Ganjar-Mahfud;Positif
60619306686;jshdn3443;Ku dukung ganjar mahfud;Ganjar-Mahfud;Positif
62409119443;on.lyns;All in ganjar mahfudz;Ganjar-Mahfud;Positif
61984273664;xiarmaul;Yook ALWAYS DUKUNG GAMA??;Ganjar-Mahfud;Positif
62727243600;arkuaram;Yang terbaik cuma GAMA????;Ganjar-Mahfud;Negatif 
62560140207;sahlanarin;GAMA PALING MUMPUNI;Ganjar-Mahfud;Positif
61792629690;aleshaalifah2023;Udah paling bener pilih pak ganjar;Ganjar-Mahfud;Positif
